CLOSURE,CONTAM_ADV,Station_Name,Latitude_DD,Longitude_DD,Beach_Name,Municipality,County_Name,Tot_actions
1.0,8.0,MC0038,40.1861755161,-74.0397952806,Shark River Beach and Yacht,Neptune Township,Monmouth,9.0
1.0,6.0,MC0044,40.4449775072,-74.1119319466,Ideal,Middletown Township,Monmouth,7.0
3.0,2.0,MC0045,40.4234322465,-74.059592391,Thompson,Middletown Township,Monmouth,5.0
1.0,1.0,MC0049,40.4079505439,-73.9932702655,Highlands Rec Center,Highlands Borough,Monmouth,2.0
,4.0,MC0050,40.4036136783,-73.9847513365,Miller Beach,Highlands Borough,Monmouth,
,2.0,MC1013,40.3622814044,-73.9714540943,Public Beach,Sea Bright Borough,Monmouth,
1.0,2.0,MC1018,40.3200680936,-73.9750786409,Atlantic Ave,Long Branch City,Monmouth,3.0
1.0,1.0,MC1019,40.3143364604,-73.9761722615,Joline,Long Branch City,Monmouth,2.0
1.0,5.0,MC1020,40.2913981527,-73.9796819117,South Bath,Long Branch City,Monmouth,6.0
,3.0,MC1021,40.2609915318,-73.9879961017,Elberon Bch Clb,Long Branch City,Monmouth,
4.0,4.0,MC1022,40.2522531157,-73.9901180256,Deal Casino,Deal Borough,Monmouth,8.0
1.0,7.0,MC1023,40.2945292984,-73.9788529377,North Bath,Long Branch City,Monmouth,8.0
1.0,1.0,MC1024,40.2209176425,-73.9984369303,3rd,Asbury Park City,Monmouth,2.0
,4.0,MC1027,40.1917268859,-74.0081774117,Sylvania,Avon-by-the-sea Borough,Monmouth,
,1.0,MC1031,40.1888335237,-74.0088216656,L Jetty Washington Ave,Avon-by-the-sea Borough,Monmouth,
1.0,3.0,MC1036,40.111342027,-74.0323773678,East Main,Manasquan Borough,Monmouth,4.0
2.0,4.0,MC1039,40.3040574457,-73.9769902841,Laird,Long Branch City,Monmouth,6.0
1.0,2.0,MC1041,40.2367133247,-73.9939071598,Cedar,Allenhurst Borough,Monmouth,3.0
,2.0,MC1043,40.2322903369,-73.9960221817,Village Beach Club,Loch Arbour Village,Monmouth,
,1.0,MC1046S,40.32458439,-73.97435574,Pavilion Beach,Monmouth Beach Borough,Monmouth,
1.0,2.0,MC1047,40.2692712907,-73.9848903782,Ocean Beach Club,Long Branch City,Monmouth,3.0
1.0,,MC1049S,40.317904,-73.97544,Avenel,Long Branch City,Monmouth,
1.0,3.0,MC1050,40.2179562572,-73.9994817762,1st Ave,Asbury Park City,Monmouth,4.0
,2.0,MC1051,40.2114438126,-74.0018846213,Main,Neptune Township,Monmouth,
1.0,2.0,MC1052,40.2089715639,-74.0029218061,Broadway,Neptune Township,Monmouth,3.0
1.0,4.0,MC1053,40.2039657903,-74.0045925064,Ocean Park,Bradley Beach Borough,Monmouth,5.0
1.0,,MC1054,40.1960369121,-74.007095572,Evergreen,Bradley Beach Borough,Monmouth,
1.0,1.0,MC1056,40.1746929138,-74.0133067766,12th Ave,Belmar Borough,Monmouth,2.0
,5.0,MC1057,40.160665914,-74.0181320765,Worthington,Spring Lake Borough,Monmouth,
,2.0,MC1058,40.1531230763,-74.0207405113,Washington,Spring Lake Borough,Monmouth,
,2.0,MC1059,40.1458715494,-74.0229989892,Essex Ave,Spring Lake Borough,Monmouth,
7.0,5.0,MC1060,40.1386877468,-74.0250879064,Brown Ave S,Spring Lake Borough,Monmouth,12.0
2.0,1.0,MC1065,40.2266481207,-73.9966637716,7th Ave,Asbury Park City,Monmouth,3.0
3.0,4.0,MC1067,40.1376253671,-74.0253175824,The Terrace,Sea Girt Borough,Monmouth,7.0
3.0,5.0,MC1070,40.1399664673,-74.0248346537,York Ave,Spring Lake Borough,Monmouth,8.0
,2.0,MC1071,40.1409751444,-74.0245880201,Union Ave,Spring Lake Borough,Monmouth,
3.0,5.0,MC1072,40.1361470507,-74.0258325645,Beacon Blvd,Sea Girt Borough,Monmouth,8.0
,1.0,MC1074,40.1796178786,-74.0114136737,7th Ave,Belmar Borough,Monmouth,
,1.0,MC1075,40.1683779799,-74.0156648801,20th,Belmar Borough,Monmouth,
,3.0,MC1081,40.1319978699,-74.0272616136,Baltimore,Sea Girt Borough,Monmouth,
,5.0,MC1082,40.1330808595,-74.0268899586,New York Blvd,Sea Girt Borough,Monmouth,
,3.0,MC1083,40.2154108696,-74.0003227451,Spray Ave.,Neptune Township,Monmouth,
,3.0,MC1084,40.277480873,-73.9829927536,Imperial House,Long Branch City,Monmouth,
,1.0,MC1096,40.1036598447,-74.0338439653,Inlet Surfing Beach Riverside Dr.,Manasquan Borough,Monmouth,
,1.0,MC1128S,40.240359,-73.993354,Hathaway Avenue Beach,Deal Borough,Monmouth,
,3.0,MC1180S,40.2531891338,-73.9893334896,Philips Ave,Deal Borough,Monmouth,
,2.0,MC1187S,40.365104,-73.971624,Rumson Rd,Sea Bright Borough,Monmouth,
,7.0,OC0023,39.9733782989,-74.0722734102,Reese Ave,Lavallette Borough,Ocean,
6.0,7.0,OC0036,39.9455410455,-74.0798571683,Hancock,Seaside Heights Borough,Ocean,13.0
2.0,4.0,OC0069,39.6492312454,-74.1856893178,14th St Bay Front,Ship Bottom Borough,Ocean,6.0
1.0,9.0,OC0073,39.6160172318,-74.2014946481,Stockton,Long Beach Township,Ocean,10.0
2.0,4.0,OC0077,39.5879811366,-74.2285836916,New Jersey,Long Beach Township,Ocean,6.0
22.0,19.0,OC0103,40.0563945061,-74.1116547167,Windward Beach,Brick Township,Ocean,41.0
11.0,6.0,OC0109,40.0887136876,-74.0712972273,Maxon,Point Pleasant Borough,Ocean,17.0
10.0,5.0,OC0110,40.0887777602,-74.0729955535,River,Point Pleasant Borough,Ocean,15.0
6.0,,OC0111,39.9478767919,-74.1631691814,Money Island,Toms River Township,Ocean,
,3.0,OC0112,39.968929444,-74.1125971919,Shelter Cove,Toms River Township,Ocean,
2.0,10.0,OC0115,39.9424517065,-74.1336010923,Summit,Island Heights Borough,Ocean,12.0
47.0,24.0,OC0116,39.942859058,-74.1848149609,Beachwood Beach West,Beachwood Borough,Ocean,71.0
4.0,7.0,OC0117,39.9381493855,-74.1580825379,East Beach Station Ave,Pine Beach Borough,Ocean,11.0
17.0,14.0,OC0118,39.9409451638,-74.169719357,West Beach Avon Rd,Pine Beach Borough,Ocean,31.0
3.0,7.0,OC0119,39.9286860079,-74.135134214,Wildwood,Ocean Gate Borough,Ocean,10.0
,1.0,OC0122,39.8729088193,-74.1314700245,Berkeley Island,Berkeley Township,Ocean,
,4.0,OC0124,39.754235764,-74.1904650552,Bay Beach,Barnegat Township,Ocean,
1.0,3.0,OC0125,39.6636551007,-74.2172728377,Jennifer,Stafford Township,Ocean,4.0
3.0,7.0,OC0132,39.9196173835,-74.0810145791,5th Ave Bay Front,Seaside Park Borough,Ocean,10.0
1.0,9.0,OC0136,39.6669992967,-74.1684166772,16th St Bay Front,Surf City Borough,Ocean,10.0
,3.0,OC0138,39.9694158228,-74.0746024225,Brooklyn,Lavallette Borough,Ocean,
3.0,5.0,OC0140,39.9289308904,-74.1282002267,Anglesea,Ocean Gate Borough,Ocean,8.0
3.0,12.0,OC0142,39.7453063767,-74.117924658,25th St Bay Front,Barnegat Light Borough,Ocean,15.0
1.0,,OC1006S,39.6994085348,-74.1357710808,69th,Harvey Cedars Borough,Ocean,
1.0,,OC1010S,39.649290061,-74.1725222569,7th St,Ship Bottom Borough,Ocean,
1.0,1.0,OC1019,40.009329903,-74.0562663786,Brick Beach,Brick Township,Ocean,2.0
,1.0,OC1033,39.9504898869,-74.0681223282,North Beach,Toms River Township,Ocean,
,2.0,OC1035,39.9440409513,-74.0687774563,Sheridan,Seaside Heights Borough,Ocean,
1.0,,OC1052,39.7198239187,-74.1255132318,Loveladies Ln,Long Beach Township,Ocean,
1.0,,OC1054,39.7034466073,-74.1335770736,75th Ocean Front,Harvey Cedars Borough,Ocean,
1.0,1.0,OC1058,39.6860536335,-74.144639795,Bergen,Harvey Cedars Borough,Ocean,2.0
