Station_Name,Latitude_DD,Longitude_DD
AC1089S1,39.3338722328,-74.4822469458
AC1089S2,39.3336089665,-74.4826750623
AC1090,39.3845520871,-74.3875364788
AC1091,39.3926400227,-74.3768924505
AC1091N1,39.3929125794,-74.3764960069
AC1091S1,39.3923510677,-74.3772677595
AC1092,39.4082150802,-74.3589486431
AC1094,39.3112420682,-74.5236473868
AC1095,39.3231857357,-74.5037768227
AC1096,39.3305799340,-74.4891788525
AC1096N1,39.3307866776,-74.4887190694
AC1096S1,39.3303945561,-74.4896282934
AC1097,39.3371354465,-74.4746197540
AC1097N1,39.3373554019,-74.4741803927
AC1097N2,39.3375898325,-74.4737164558
AC1097S1,39.3369357309,-74.4750748284
AC1097S2,39.3367300283,-74.4755470526
AC1098,39.3769063891,-74.3981373425
AC1099,39.3890044376,-74.3814981278
AC1116S,39.3968890000,-74.3712600000
AC1120S,39.3921610000,-74.3775740000
AC1133,39.3800570205,-74.3939111946
AC1140S,39.3297250000,-74.4908400000
AC1142S,39.3272560000,-74.4955490000
AC1156S,39.3415140000,-74.4648400000
AC1177S,39.3108434792,-74.5921066334
AC1183S,39.3581367615,-74.4186186034
AC1184S,39.3560210661,-74.4235853820
AC1185S,39.3559294421,-74.4256051147
AC1186S,39.3543359529,-74.4301273254
AC1187S,39.3543051905,-74.4309988761
AC1188S,39.3529118992,-74.4361508959
AC1189S,39.3526642998,-74.4364141849
AC1190S,39.3518474156,-74.4387734140
AC1191S,39.3517815305,-74.4395675643
AC1192S,39.3513478512,-74.4408784985
AC1193S,39.3511643232,-74.4414559902
AC1194S,39.3508556003,-74.4419983382
AC1195,39.3506881638,-74.4429461658
AC1195N1,39.3508342593,-74.4424632455
AC1195S1,39.3505257610,-74.4434481004
AC1198S,39.3488980000,-74.4478360000
AC1199S,39.3473120000,-74.4515630000
AC1201S,39.3462710000,-74.4539220000
AC1206S,39.3425460000,-74.4624060000
AC1206SN1,39.3428110000,-74.4621830000
AC1206SS1,39.3424620000,-74.4631160000
AC1207S,39.3429250000,-74.4616410000
AC1228,39.3421684119,-74.4635863645
AC1229,39.3454232676,-74.4561135285
AC1229N1,39.3455860380,-74.4556119124
AC1229N2,39.3457691516,-74.4551605317
AC1229S1,39.3451864675,-74.4565556452
AC1229S2,39.3449834317,-74.4569966305
AC1230,39.3479628972,-74.4499322519
AC1231,39.4117401242,-74.3548744271
AC1236,39.3276340000,-74.4949170000
AC1237,39.3278240000,-74.4944940000
CC0001,39.2929128952,-74.5655058069
CC0004,39.2827950000,-74.5796370000
CC0005,39.2815090000,-74.5825390000
CC0008,39.2707280000,-74.6039670000
CC0010,39.2428890000,-74.6326790000
CC0016,39.1574130000,-74.6977250000
CC0025,39.1158560090,-74.7212788092
CC0026,39.1114360000,-74.7148080000
CC0028,39.1064430000,-74.7241260000
CC0030,39.1017810000,-74.7219480000
CC0031,39.1047660000,-74.7275310000
CC0035,39.0952160000,-74.7273070000
CC0036,39.0927590000,-74.7292510000
CC0038,39.0926270000,-74.7315060000
CC0042,39.0814410000,-74.7396630000
CC0045,39.0674980000,-74.7530910000
CC0046,39.0653500000,-74.7544420000
CC0047,39.0639320000,-74.7555460000
CC0049,39.0585034988,-74.7604763845
CC0050,39.0585340000,-74.7643110000
CC0053,39.0545610000,-74.7628830000
CC0061,39.0173150000,-74.7939320000
CC0062,39.0257750000,-74.7968620000
CC0063,39.0209830000,-74.8003870000
CC0065,39.0133920000,-74.7985130000
CC0066,39.0058420000,-74.8033340000
CC0068,39.0018690000,-74.8095860000
